state,county,Donald Trump,Joe Biden,Jo Jorgensen,Kanye West,Brian Carroll,Jade Simmons,Don Blankenship,President Boddie,Bill Hammons,Tom Hoefling,Brock Pierce,Gloria La Riva,Alyson Kennedy
Louisiana,Acadia Parish,22596,5443,241,45,25,18,16,12,8,8,6,4,3
Louisiana,Allen Parish,7574,2108,73,15,11,13,6,2,1,3,3,1,0
Louisiana,Ascension Parish,40687,20399,816,134,89,46,20,32,16,19,28,26,13
Louisiana,Assumption Parish,7271,3833,68,16,13,6,8,5,5,1,3,2,4
Louisiana,Avoyelles Parish,12028,4979,161,41,20,11,8,23,1,7,3,5,5
Louisiana,Beauregard Parish,13575,2542,172,13,18,13,6,6,3,5,1,3,0
Louisiana,Bienville Parish,3891,3067,49,12,7,3,4,10,1,1,3,1,1
Louisiana,Bossier Parish,38074,15662,632,82,40,38,31,22,12,19,15,19,9
Louisiana,Caddo Parish,48021,55110,1021,290,122,98,38,50,37,27,33,37,28
Louisiana,Calcasieu Parish,55066,25982,1083,164,89,79,36,30,24,38,27,26,19
Louisiana,Caldwell Parish,3976,745,21,3,7,1,2,1,2,1,1,1,1
Louisiana,Cameron Parish,3671,324,23,5,2,6,0,1,2,2,0,1,2
Louisiana,Catahoula Parish,3541,1269,26,5,7,2,1,3,0,2,1,0,1
Louisiana,Claiborne Parish,3770,2731,29,12,9,6,4,8,0,2,4,4,1
Louisiana,Concordia Parish,5550,3177,64,5,14,1,5,3,2,2,4,0,1
Louisiana,De Soto Parish,9112,5457,79,21,22,4,3,14,1,7,9,3,4
Louisiana,East Baton Rouge Parish,88420,115577,2440,619,329,219,76,103,84,82,77,111,45
Louisiana,East Carroll Parish,1080,1900,20,4,12,1,1,12,2,0,1,2,1
Louisiana,East Feliciana Parish,6064,4280,89,16,10,6,14,11,4,6,4,5,0
Louisiana,Evangeline Parish,11053,4158,96,22,22,11,5,19,4,5,5,7,5
Louisiana,Franklin Parish,6970,2658,45,8,10,6,3,7,1,0,5,4,3
Louisiana,Grant Parish,8117,1157,79,5,10,6,7,2,1,3,4,1,0
Louisiana,Iberia Parish,21251,11027,253,60,30,23,10,20,5,10,11,8,5
Louisiana,Iberville Parish,7893,8514,141,57,27,16,6,31,7,8,11,3,5
Louisiana,Jackson Parish,5394,2143,51,16,10,3,3,2,2,3,3,2,0
Louisiana,Jefferson Parish,105949,84477,1935,532,215,134,101,86,54,59,66,86,39
Louisiana,Jefferson Davis Parish,11423,3208,131,22,19,9,3,4,7,2,5,6,2
Louisiana,Lafayette Parish,72519,39685,1512,256,168,95,36,37,32,32,47,73,29
Louisiana,Lafourche Parish,36024,8672,424,80,54,21,21,19,18,12,17,18,8
Louisiana,LaSalle Parish,6378,638,39,5,4,1,4,1,1,3,1,2,0
Louisiana,Lincoln Parish,11311,7559,276,40,27,16,3,9,11,9,4,8,2
Louisiana,Livingston Parish,54877,9249,817,98,51,29,22,9,17,21,13,15,12
Louisiana,Madison Parish,1930,2654,23,12,11,8,4,10,6,1,7,1,3
Louisiana,Morehouse Parish,6510,4946,56,8,8,11,5,9,4,5,3,4,5
Louisiana,Natchitoches Parish,9358,6896,172,28,23,22,12,12,4,5,6,7,9
Louisiana,Orleans Parish,26664,147854,1603,708,178,132,42,100,52,37,76,262,111
Louisiana,Ouachita Parish,42255,25913,624,125,69,48,22,33,14,19,15,18,11
Louisiana,Plaquemines Parish,7412,3414,103,31,17,6,2,7,5,6,6,4,1
